	profile_id_x	other_profile_id_x	score
474	13.0	27.0	0.7652068306801469
522	13.0	22.0	0.7550354524324265
537	13.0	65.0	0.7522513749655212
602	13.0	23.0	0.7431227866265058
33	14.0	85.0	0.9236073762030211
165	14.0	75.0	0.8399773450580329
228	14.0	84.0	0.819408869334576
242	14.0	51.0	0.8139152001901714
246	14.0	41.0	0.8132569532950171
265	14.0	61.0	0.8076945683438422
373	14.0	13.0	0.7853555641832032
482	14.0	15.0	0.7621558927341641
496	14.0	32.0	0.7599308422375304
592	14.0	31.0	0.7439407741275614
122	15.0	10.0	0.8598136742299157
418	15.0	22.0	0.7756234007054864
435	15.0	70.0	0.7723747614337136
483	15.0	14.0	0.7621558927341641
678	15.0	51.0	0.7359367491965292
706	15.0	32.0	0.7326741034545314
941	15.0	31.0	0.7083643749447791
1051	15.0	16.0	0.698436179410098
1125	15.0	47.0	0.6924136616442761
1167	15.0	2.0	0.6898734088217972
53	17.0	13.0	0.9034603486062681
327	17.0	23.0	0.7966578065124427
676	17.0	73.0	0.7360966575312551
745	17.0	88.0	0.7281592695813064
910	17.0	31.0	0.7107579087997719
916	17.0	57.0	0.7104943705345071
937	17.0	43.0	0.7086022378831095
938	17.0	33.0	0.7085644899771335
1038	17.0	51.0	0.6993087289635264
1048	17.0	14.0	0.6985750411795266
55	16.0	23.0	0.9033625701423283
210	16.0	99.0	0.8244972588707434
236	16.0	80.0	0.8152803531891337
282	16.0	28.0	0.8050349069045494
450	16.0	71.0	0.7691009782722101
654	16.0	3.0	0.738376637900671
711	16.0	62.0	0.7320760692218419
890	16.0	56.0	0.7125398017529606
908	16.0	39.0	0.7107770058139768
920	16.0	95.0	0.710353476956233
199	19.0	74.0	0.8286561208706444
267	19.0	57.0	0.8076453609688151
392	19.0	18.0	0.7804566433403066
469	19.0	65.0	0.7660973750691239
640	19.0	79.0	0.7399335095131512
1192	19.0	45.0	0.6885425855911556
1211	19.0	46.0	0.6872275931063495
1380	19.0	42.0	0.673393979265798
1394	19.0	37.0	0.6726822053948062
1511	19.0	69.0	0.6634840653461541
37	18.0	89.0	0.9209489405434633
160	18.0	27.0	0.8403984936088864
188	18.0	10.0	0.8305579942128397
222	18.0	3.0	0.8218798998267868
239	18.0	5.0	0.8151446651271499
291	18.0	11.0	0.8045358677129665
304	18.0	26.0	0.8021563701494152
332	18.0	94.0	0.7952714672458692
347	18.0	83.0	0.7916436013057415
393	18.0	19.0	0.7804566433403066
281	21.0	87.0	0.8054766980819221
463	21.0	50.0	0.7670674151869713
622	21.0	23.0	0.7415991523991249
681	21.0	76.0	0.7357691261201339
689	21.0	24.0	0.7350451440462241
757	21.0	79.0	0.726785570911757
932	21.0	27.0	0.7096032246667381
948	21.0	84.0	0.7076125079177408
981	21.0	80.0	0.7050106909298282
1025	21.0	13.0	0.7009288363203187
48	20.0	99.0	0.9081407825832277
131	20.0	28.0	0.8536674923032467
316	20.0	72.0	0.7986706325298755
456	20.0	71.0	0.7678756814096849
760	20.0	26.0	0.7261304831151316
988	20.0	8.0	0.7042890430737311
1059	20.0	61.0	0.6979116558893064
1438	20.0	64.0	0.6691451954300103
1459	20.0	14.0	0.6673316659149278
1522	20.0	94.0	0.6625336813186523
18	23.0	95.0	0.9430621786631671
54	23.0	16.0	0.9033625701423283
142	23.0	64.0	0.846319351459912
326	23.0	17.0	0.7966578065124427
431	23.0	27.0	0.7729393883503338
575	23.0	86.0	0.7470952583535854
603	23.0	13.0	0.7431227866265058
613	23.0	69.0	0.7420261148110898
615	23.0	75.0	0.7419702753564207
623	23.0	21.0	0.7415991523991249
5	22.0	40.0	0.9638688858648293
90	22.0	71.0	0.8824883621041614
190	22.0	50.0	0.830457531342083
241	22.0	64.0	0.8147251700398976
419	22.0	15.0	0.7756234007054864
523	22.0	13.0	0.7550354524324265
556	22.0	80.0	0.7485326138401623
776	22.0	4.0	0.7249448712600198
812	22.0	74.0	0.7206108645319002
892	22.0	52.0	0.7125384212840952
145	25.0	7.0	0.8462167914549715
206	25.0	43.0	0.8269512170782886
289	25.0	99.0	0.8048316020650871
521	25.0	69.0	0.7557543900080846
527	25.0	37.0	0.7545028002098306
551	25.0	53.0	0.7497491066488944
610	25.0	60.0	0.7422209882261341
739	25.0	28.0	0.729026782157416
